ticker,company,industry,sub_industry,headquarter,url
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",http://www.nasdaq.com/symbol/tsco
TT,Trane Technologies plc,Industrials,Building Products,"Dublin, Ireland",https://www.nyse.com/quote/XNYS:TT
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",https://www.nyse.com/quote/XNYS:TDG
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",https://www.nyse.com/quote/XNYS:TRV
TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina",https://www.nyse.com/quote/XNYS:TFC
TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",https://www.nyse.com/quote/XNYS:TWTR
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",https://www.nyse.com/quote/XNYS:TSN
UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",https://www.nyse.com/quote/XNYS:UDR
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",http://www.nasdaq.com/symbol/ulta
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",https://www.nyse.com/quote/XNYS:USB
UAA,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",https://www.nyse.com/quote/XNYS:UAA
UA,Under Armour Class C,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",https://www.nyse.com/quote/XNYS:UA
UNP,Union Pacific Corp,Industrials,Railroads,"Omaha, Nebraska",https://www.nyse.com/quote/XNYS:UNP
UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",http://www.nasdaq.com/symbol/ual
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",https://www.nyse.com/quote/XNYS:UNH
